Kata,sense-1,sense-2,sense-3,sense-4,sense-5
ahad,minggu,,
minggu,"ahad,pekan",,
tunggal,"ahad,esa,satu",,
esa,"ahad,satu,tunggal",,
satu,"ahad,eka,esa,homo-,iso-,mono-,se-,suatu,tunggal,uni,unik,wahid",,
